## dftype
count: 5
- baggy | Baggy | en=Logia => [logia] | fr=Paramecia => [paramecia]
- charlotte-katakuri | Charlotte Katakuri | en=Special Paramecia => [special paramecia] | fr=Paramecia => [paramecia]
- gecko-moria | Gecko Moria | en=Paramecia => [paramecia] | fr=∅ => []
- monkey-d-luffy | Monkey D. Luffy | en=Paramecia(Mythical Zoan) => [mythical zoan, paramecia] | fr=Paramecia => [paramecia]
- urouge | Urouge | en=∅ => [] | fr=Paramecia => [paramecia]

## origin
count: 38
- marshall-d-teach | Marshall D. Teach | en=Shade Port => [shade port] | fr=Grand Line => [grand line]
- kalgara | Kalgara | en=Jaya => [jaya] | fr=Grand Line => [grand line]
- bellemere | Bellemere | en=Conomi Islands => [conomi islands] | fr=∅ => []
- bellamy | Bellamy | en=Notice => [notice] | fr=North Blue => [north blue]
- bepo | Bepo | en=Mokomo Dukedom => [mokomo dukedom] | fr=Zou => [zou]
- chinjao | Chinjao | en=Kano Country => [kano country] | fr=Pays des Fleurs => [pays des fleurs]
- eustass-kid | Eustass Kid | en=Kutsukku Island => [kutsukku island] | fr=South Blue => [south blue]
- gecko-moria | Gecko Moria | en=West Blue => [west blue] | fr=∅ => []
- hack | Hack | en=Ryugu Kingdom => [ryugu kingdom] | fr=Île des Hommes-Poissons => [fish-man island]
- issho | Issho | en=Aoi Kingdom => [aoi kingdom] | fr=Grand Line => [grand line]
- jewelry-bonney | Jewelry Bonney | en=Mary Geoise => [mary geoise] | fr=South Blue => [south blue]
- killer | Killer | en=Kutsukku Island => [kutsukku island] | fr=South Blue => [south blue]
- kokoro | Kokoro | en=Ryugu Kingdom => [ryugu kingdom] | fr=Île des Hommes-Poissons => [fish-man island]
- kuromarimo | Kuromarimo | en=Drum Kingdom => [drum kingdom] | fr=Royaume de Drum => [drum]
- kuzan | Kuzan | en=Vespa Kingdom territory => [vespa kingdom territory] | fr=South Blue, Royaume Vespa => [south blue, vespa kingdom]
- monkey-d-luffy | Monkey D. Luffy | en=Foosha Village => [foosha village] | fr=Royaume de Goa => [goa kingdom]
- nami | Nami | en=Conomi Islands => [conomi islands] | fr=East Blue, Royaume d'Oykot => [east blue, oykot]
- octo | Octo | en=∅ => [] | fr=Île des Hommes-Poissons, Royaume Ryugu => [fish-man island, ryugu kingdom]
- sai | Sai | en=Kano Country => [kano country] | fr=West Blue, Pays des Fleurs => [pays des fleurs, west blue]
- sentomaru | Sentomaru | en=Mt. Kintoki => [mt. kintoki] | fr=Grand Line Mont Kintoki => [grand line mont kintoki]
- shakuyaku | Shakuyaku | en=∅ => [] | fr=Amazon Lily => [amazon lily]
- shanks | Shanks | en=God Valley => [god valley] | fr=West Blue => [west blue]
- stussy | Stussy | en=MADS Research Ship => [mads research ship] | fr=Grand Line => [grand line]
- vinsmoke-ichiji | Vinsmoke Ichiji | en=Germa Kingdom => [germa kingdom] | fr=North Blue => [north blue]
- vinsmoke-niji | Vinsmoke Niji | en=Germa Kingdom => [germa kingdom] | fr=North Blue => [north blue]
- vinsmoke-reiju | Vinsmoke Reiju | en=Germa Kingdom => [germa kingdom] | fr=North Blue => [north blue]
- vinsmoke-yonji | Vinsmoke Yonji | en=Germa Kingdom => [germa kingdom] | fr=North Blue => [north blue]
- yamato | Yamato | en=∅ => [] | fr=Origine inconnue => [unknown]
- mozu-et-kiwi | Mozu et Kiwi | en=Water 7, Slums => [slums, water 7] | fr=Grand Line, Bas-fonds de Water Seven => [bas-fonds de water 7, grand line]
- vinsmoke-sanji | Sanji | en=North Blue => [north blue] | fr=Royaume de Germa => [germa]
- tony-tony-chopper | Tony Tony Chopper | en=Drum Island => [drum island] | fr=Grand Line, Royaume des Cerisiers => [grand line, royaume des cerisiers]
- usopp | Usopp | en=Gecko Islands => [gecko islands] | fr=∅ => []
- dracule-mihawk | Dracule Mihawk | en=∅ => [] | fr=Île Obscuria Île de Kalai Bali => [ile obscuria ile de kalai bali]
- silvers-rayleigh | Silvers Rayleigh | en=∅ => [] | fr=Archipel des Sabaody => [sabaody]
- charlotte-pudding | Charlotte Pudding | en=Totto Land => [totto land] | fr=Île Cacao, Chocolate Town => [chocolate town, ile cacao]
- koala | Koala | en=∅ => [] | fr=Baltigo Île Foolshout Mary Geoise Kedétrav => [baltigo ile foolshout mary geoise kamabakka kingdom]
- gin | Gin | en=East Blue => [east blue] | fr=∅ => []
- kawamatsu | Kawamatsu | en=Ryugu Kingdom => [ryugu kingdom] | fr=Pays des Wa => [wano country]
