id;local_name;en_wiki_mainaffiliation;en_wiki_subaffiliations;en_wiki_age;en_wiki_aliases;en_wiki_bounty;en_wiki_dfname;en_wiki_dftype;en_wiki_first;en_wiki_height;en_wiki_occupation_actuelle;en_wiki_autres_occupations;en_wiki_origin;en_wiki_status;fr_wiki_affiliation;fr_wiki_âge;fr_wiki_aliases;fr_wiki_dfnom;fr_wiki_dftype;fr_wiki_lieuvie;fr_wiki_occupation;fr_wiki_origine;fr_wiki_première;fr_wiki_prime;fr_wiki_statut;fr_wiki_taille
spandam;Spandam;CP0;"CP9,CP5";41;Supandamu;;;;"Chapter 355; Episode 249";192 cm;CP0 Chief;"CP9 Chief; CP5 Chief";Grand Line;Alive;"CP-AIGIS0, CP5, CP9, Gouvernement Mondial";41 ans;"Spandam, スパンダム, Supandamu";;;Enies Lobby;"Membre du CP-AIGIS0, Commandant du CP5, Commandant du CP9";Grand Line;"Chapitre 355 ; Épisode 230";;;1m92
kalifa;Kalifa;CP0;"CP9,Galley-La Company";27;Karifa;;Awa Awa no Mi;Paramecia;"Chapter 323; Episode 230";185 cm;Cipher Pol Agent;"Secretary (cover, former)";Grand Line;Alive;"CP-AIGIS0, CP9 Secrétaire de Icebarg";27 ans;"Kalifa, カリファ, Karifa";"Awa Awa no Mi, Fruit Bubulle";Paramecia;"Guanhao, Water Seven";"Agent du Cipher Pol, Assassin, Secrétaire";Grand Line;"Chapitre 323 ; Épisode 230";;Vivante;1m85
fukuro;Fukuro;CP0;CP9;31;"Fukurou the Silent,Otonashi no Fukuro,Fukuro";;;;"Chapter 375; Episode 264";331 cm;Cipher Pol Agent;;Grand Line;Alive;"CP-AIGIS0, CP9";31 ans;"Fukurô, ""Fukuro le Silencieux"" (音無しのフクロウ, Otonashi no Fukurō), Fukuro, フクロウ, Fukurō";;;Guanhao;"Agent du Cipher Pol, Assassin";Grand Line;"Chapitre 375 ; Épisode 264Chapitre 0 ; Épisode 0";;;3m31
kumadori;Kumadori;CP0;CP9;36;Kumadori;;;;"Chapter 375; Episode 264";338 cm;Cipher Pol Agent;;South Blue;Alive;"CP-AIGIS0, CP9";36 ans;"Kumadori, クマドリ";;;Guanhao;"Agent du Cipher Pol, Assassin";South Blue;"Chapitre 375 ; Épisode 264Chapitre 0 ; Épisode 0";;;3m18
blueno;Blueno;CP0;CP9;32;Buruno;;Doa Doa no Mi;Paramecia;"Chapter 325; Episode 230";258 cm;Cipher Pol Agent;Bartender;North Blue;Alive;"CP-AIGIS0, CP9";32 ans;"Blueno, ブルーノ, Burūno";"Doa Doa no Mi, Fruit du portier";Paramecia;"Guanhao, Water Seven";"Agent du Cipher Pol, Assassin, Tenancier de Bar";North Blue;"Chapitre 325 ; Épisode 230Chapitre 0 ; Épisode 0";;Vivant;2m58
jabra;Jabra;CP0;CP9;37;Jabura;;"Inu Inu no Mi, Model: Wolf";Zoan;"Chapter 375; Episode 264";212 cm;Cipher Pol Agent;;North Blue;Alive;"CP-AIGIS0, CP9";37 ans;"Jabra, Jabura Jabra, ジャブラ, Jabura";"Inu Inu no Mi, modèle Loup, Fruit du Canidé - Version Loup";Zoan;"Guanhao, Water Seven";"Agent du Cipher Pol, Assassin";North Blue;"Chapitre 375 ; Épisode 264Chapitre 0 ; Épisode 0";;Vivant;2m12
kaku;Kaku;CP0;"CP9,Galley-La Company";25;"Mountain Wind,Yamakaze,Kaku";;"Ushi Ushi no Mi, Model: Giraffe";Zoan;"Chapter 323; Episode 230";193 cm;Cipher Pol Agent;Shipwright (cover);East Blue;Alive;"CP-AIGIS0, CP9 Galley-La Company";25 ans;"""Le Vent de la Montagne"" (山風, Yamakaze), Kaku, カク";"Ushi Ushi no Mi, modèle: Girafe, Fruit du Bovin - Version Girafe";Zoan;"Guanhao, Water Seven";"Agent du Cipher Pol, Assassin, Charpentier";East Blue;"Chapitre 323 ; Épisode 230";;Vivant;1m93
rob-lucci;Rob Lucci;CP0;"CP9,Galley-La Company";30;"Massacre Weapon,Satsuriku Heiki,Robu Rutchi";;"Neko Neko no Mi, Model: Leopard";Zoan;"Chapter 323; Episode 230";212 cm;Cipher Pol Agent;Shipwright;Guanhao;Alive;"CP-AIGIS0, CP9 Galley-La Company";30 ans;"""Arme de massacre"" (殺戮兵器, Satsuriku Heiki?), Rob Lucci, ロブ･ルッチ, Robu Rucchi";"Neko Neko no Mi, modèle Léopard, Fruit du Félin, Version Léopard";Zoan;"Guanhao, Water Seven";"Agent du Cipher Pol, Assassin, Charpentier";Grand Line;"Chapitre 323 ; Épisode 230Chapitre 0 ; Épisode 0";;Vivant;2m12
marshall-d-teach;Marshall D. Teach;Blackbeard Pirates;"Four Emperors,Clan of D., Davy Family,Seven Warlords of the Sea,Whitebeard Pirates 2nd Division";40;"Blackbeard,Kurohige,Black Beard' in the edited dub,Masharu Di Tichi";"3,996,000,000";"Yami Yami no Mi, Gura Gura no Mi";"Logia, Paramecia";"Chapter 223; Episode 146";344 cm;Pirate;"Admiral; Emperor; Apprentice; Warlord of the Sea";Shade Port;Alive;"L'Équipage de Barbe Noire, L'Équipage de Barbe Blanche Sept Grands Corsaires Quatre Empereurs";40 ans;"""Barbe Noire"" (黒ひげ, Kurohige)""Amiral Teach"" (ティーチ提督, Tīchi Tētoku), Marshall D. Teach, マーシャル・D（ディー）・ティーチ, Māsharu Dī Tīchi";"Yami Yami no Mi, Fruit des Ténèbres, Gura Gura no Mi, Fruit du Tremblement";"Logia, Paramecia";Île de Ruche;Capitaine PirateGrand Corsaire Empereur;Grand Line;"Chapitre 223, Épisode 146";02.247.600.0003.996.000.000;Vivant;"344 cm (11'2"")"
edward-newgate;Edward Newgate;Whitebeard Pirates;"Rocks Pirates,Four Emperors";72;"Whitebeard,Shirohige,White Beard' in the edited dub,The Strongest Man in the World,Sekai Saikyo no Otoko,The Man Closest to One Piece,Wan Pisu ni Mottomo Chikai Otoko,Edowado Nyugeto";"5,046,000,000";Gura Gura no Mi;Paramecia;"Chapter 234; Episode 151 (full)";666 cm;Pirate Captain;Emperor;Sphinx;Deceased;Quatre Empereurs L'Équipage de Barbe BlancheL'Équipage de Rocks;72 ans;"""Barbe Blanche"" (白ひげ, Shirohige)""L'Homme le plus Fort du Monde"" (世界最強の男, Sekai saikyō no otoko)""L'Homme le plus proche du One Piece"" (ワンピースに最も近い男, Wan Pīsu ni mottomo chikai otoko), Edward Newgate, エドワード・ニューゲート, Edowādo Nyūgēto";"Gura Gura no Mi, Fruit du Tremblement";Paramecia;;Capitaine Pirate Empereur;Sphinx;"Chapitre 234 ; Épisode 151Chapitre 0 ; Épisode 0";5.046.000.000;Décédé;6m66
