id;local_name;en_wiki_mainaffiliation;en_wiki_subaffiliations;en_wiki_aliases;en_wiki_bounty;en_wiki_dftype;en_wiki_occupation_actuelle;en_wiki_autres_occupations;en_wiki_origin;fr_wiki_affiliation;fr_wiki_aliases;fr_wiki_dftype;fr_wiki_lieuvie;fr_wiki_occupation;fr_wiki_origine;fr_wiki_prime;final_age;final_height;final_status;final_premiere;final_dfname;final_bounty
spandam;Spandam;CP0;CP9,CP5;Supandamu;;;CP0 Chief;"CP9 Chief; CP5 Chief";Grand Line;CP-AIGIS0, CP5, CP9, Gouvernement Mondial;Spandam, Supandamu;;Enies Lobby;Membre du CP-AIGIS0, Commandant du CP5, Commandant du CP9;Grand Line;;41 ans;192 cm;Vivant(e);"Chapitre 355 ; Épisode 249";Aucun;Aucune
kalifa;Kalifa;CP0;CP9,Galley-La Company;Karifa;;Paramecia;Cipher Pol Agent;Secretary, cover, former;Grand Line;CP-AIGIS0, CP9 Secrétaire de Icebarg;Kalifa, Karifa;Paramecia;Guanhao, Water Seven;Agent du Cipher Pol, Assassin, Secrétaire;Grand Line;;27 ans;185 cm;Vivant(e);"Chapitre 323 ; Épisode 230";Awa Awa no Mi;Aucune
fukuro;Fukuro;CP0;CP9;Fukurou the Silent,Otonashi no Fukuro,Fukuro;;;Cipher Pol Agent;;Grand Line;CP-AIGIS0, CP9;Fukurô, Fukuro le Silencieux, Otonashi no Fukurō;;Guanhao;Agent du Cipher Pol, Assassin;Grand Line;;31 ans;331 cm;Vivant(e);"Chapitre 375 ; Épisode 264";Aucun;Aucune
kumadori;Kumadori;CP0;CP9;Kumadori;;;Cipher Pol Agent;;South Blue;CP-AIGIS0, CP9;Kumadori;;Guanhao;Agent du Cipher Pol, Assassin;South Blue;;36 ans;338 cm;Vivant(e);"Chapitre 375 ; Épisode 264";Aucun;Aucune
blueno;Blueno;CP0;CP9;Buruno;;Paramecia;Cipher Pol Agent;Bartender;North Blue;CP-AIGIS0, CP9;Blueno, Burūno;Paramecia;Guanhao, Water Seven;Agent du Cipher Pol, Assassin, Tenancier de Bar;North Blue;;32 ans;258 cm;Vivant(e);"Chapitre 325 ; Épisode 230";Doa Doa no Mi;Aucune
jabra;Jabra;CP0;CP9;Jabura;;Zoan;Cipher Pol Agent;;North Blue;CP-AIGIS0, CP9;Jabra, Jabura Jabra, Jabura;Zoan;Guanhao, Water Seven;Agent du Cipher Pol, Assassin;North Blue;;37 ans;212 cm;Vivant(e);"Chapitre 375 ; Épisode 264";Inu Inu no Mi, Model: Wolf;Aucune
kaku;Kaku;CP0;CP9,Galley-La Company;Mountain Wind,Yamakaze,Kaku;;Zoan;Cipher Pol Agent;Shipwright;East Blue;CP-AIGIS0, CP9 Galley-La Company;Le Vent de la Montagne, Kaku, Yamakaze;Zoan;Guanhao, Water Seven;Agent du Cipher Pol, Assassin, Charpentier;East Blue;;25 ans;193 cm;Vivant(e);"Chapitre 323 ; Épisode 230";Ushi Ushi no Mi, Model: Giraffe;Aucune
rob-lucci;Rob Lucci;CP0;CP9,Galley-La Company;Massacre Weapon,Satsuriku Heiki,Robu Rutchi;;Zoan;Cipher Pol Agent;Shipwright;Guanhao;CP-AIGIS0, CP9 Galley-La Company;Arme de massacre, Rob Lucci, Robu Rucchi, Satsuriku Heiki;Zoan;Guanhao, Water Seven;Agent du Cipher Pol, Assassin, Charpentier;Grand Line;;30 ans;212 cm;Vivant(e);"Chapitre 323 ; Épisode 230";Neko Neko no Mi, Model: Leopard;Aucune
marshall-d-teach;Marshall D. Teach;Blackbeard Pirates;Four Emperors,Clan of D., Davy Family,Seven Warlords of the Sea,Whitebeard Pirates 2nd Division;Blackbeard,Kurohige,Black Beard' in the edited dub,Masharu Di Tichi;3,996,000,000;Logia, Paramecia;Pirate;"Admiral; Emperor; Apprentice; Warlord of the Sea";Shade Port;L'Équipage de Barbe Noire, L'Équipage de Barbe Blanche Sept Grands Corsaires Quatre Empereurs;Barbe Noire, Amiral Teach, Marshall D. Teach, D, Māsharu Dī Tīchi, Kurohige, Tīchi Tētoku;Logia, Paramecia;Île de Ruche;Capitaine PirateGrand Corsaire Empereur;Grand Line;02.247.600.0003.996.000.000;40 ans;344 cm;Vivant(e);"Chapitre 223 ; Épisode 146";Yami Yami no Mi, Gura Gura no Mi;3 996 000 000
edward-newgate;Edward Newgate;Whitebeard Pirates;Rocks Pirates,Four Emperors;Whitebeard,Shirohige,White Beard' in the edited dub,The Strongest Man in the World,Sekai Saikyo no Otoko,The Man Closest to One Piece,Wan Pisu ni Mottomo Chikai Otoko,Edowado Nyugeto;5,046,000,000;Paramecia;Pirate Captain;Emperor;Sphinx;Quatre Empereurs L'Équipage de Barbe BlancheL'Équipage de Rocks;Barbe Blanche, L'Homme le plus Fort du Monde, L'Homme le plus proche du One Piece, Edward Newgate, Edowādo Nyūgēto, Shirohige, Sekai saikyō no otoko, Wan Pīsu ni mottomo chikai otoko;Paramecia;;Capitaine Pirate Empereur;Sphinx;5.046.000.000;72 ans;666 cm;Décédé(e);"Chapitre 234 ; Épisode 151";Gura Gura no Mi;5 046 000 000
