id;local_name;en_wiki_mainaffiliation;en_wiki_subaffiliations;en_wiki_age;en_wiki_aliases;en_wiki_bounty;en_wiki_dfname;en_wiki_dftype;en_wiki_first;en_wiki_height;en_wiki_occupation_actuelle;en_wiki_autres_occupations;en_wiki_origin;en_wiki_status;fr_wiki_page_title;fr_wiki_image_url;fr_wiki_match_status;fr_wiki_match_via;fr_wiki_A;fr_wiki_acteur;fr_wiki_affiliation;fr_wiki_âge;fr_wiki_alias;fr_wiki_ancien_nomf;fr_wiki_capitaine;fr_wiki_Chapitres;fr_wiki_cp9clé;fr_wiki_Date;fr_wiki_df2nom;fr_wiki_df2nomf;fr_wiki_df2signifiant;fr_wiki_df2type;fr_wiki_dfnom;fr_wiki_dfnomf;fr_wiki_dftype;fr_wiki_doriki;fr_wiki_Ending;fr_wiki_épithète;fr_wiki_Format;fr_wiki_groupe_sanguin;fr_wiki_lieuvie;fr_wiki_naissance;fr_wiki_navire;fr_wiki_nom;fr_wiki_Nom;fr_wiki_nom_réel;fr_wiki_nomf;fr_wiki_Nomf;fr_wiki_nomj;fr_wiki_Nomj;fr_wiki_nomr;fr_wiki_Nomr;fr_wiki_numgladiateur;fr_wiki_numzombie;fr_wiki_occupation;fr_wiki_Opening;fr_wiki_origine;fr_wiki_P;fr_wiki_particularités;fr_wiki_Piece;fr_wiki_poids;fr_wiki_premiere;fr_wiki_première;fr_wiki_prime;fr_wiki_Saison;fr_wiki_SaisonKHV;fr_wiki_signe_astrologique;fr_wiki_signifiant;fr_wiki_statut;fr_wiki_taille;fr_wiki_titre;fr_wiki_Tomes;fr_wiki_vf;fr_wiki_vo
spandam;Spandam;CP0;"CP9,CP5";41;Supandamu;;;;"Chapter 355; Episode 249";192 cm;CP0 Chief;"CP9 Chief; CP5 Chief";Grand Line;Alive;Spandam;https://static.wikia.nocookie.net/onepiece/images/9/9f/Spandam_Anime_Post_Ellipse_Infobox.png/revision/latest/scale-to-width-down/268;ok;candidate:Spandam;;;CP-AIGIS0CP5 CP9 Gouvernement Mondial;39 ans (au début)41 ans (après l'ellipse);;;;;;;;;;;;;;9;;;;XF (AB);Enies Lobby;11 Mars;;Spandam;;;Spandam;;スパンダム;;Supandamu;;;;Membre du CP-AIGIS0Commandant du CP5 Commandant du CP9;;Grand Line;;;;;;"Chapitre 355 ; Épisode 230";;;;;;;1m92;;;;
kalifa;Kalifa;CP0;"CP9,Galley-La Company";27;Karifa;;Awa Awa no Mi;Paramecia;"Chapter 323; Episode 230";185 cm;Cipher Pol Agent;"Secretary (cover, former)";Grand Line;Alive;Kalifa;https://static.wikia.nocookie.net/onepiece/images/2/2a/Kalifa_Anime_Post_Ellipse_Infobox.png/revision/latest/scale-to-width-down/268;ok;candidate:Kalifa;;;CP-AIGIS0 CP9 Secrétaire de Icebarg;25 ans (avant l'ellipse) 27 ans (apres l'ellipse);;;;;;;;;;;Awa Awa no Mi;Fruit Bubulle;Paramecia;630;;;;XF (AB);Guanhao Water Seven;23 Avril;;Kalifa;;;Kalifa;;カリファ;;Karifa;;;;Agent du Cipher Pol Assassin Secrétaire;;Grand Line;;;;;;"Chapitre 323 ; Épisode 230";;;;;Bulles;Vivante;1m85;;;;
fukuro;Fukuro;CP0;CP9;31;"Fukurou the Silent,Otonashi no Fukuro,Fukuro";;;;"Chapter 375; Episode 264";331 cm;Cipher Pol Agent;;Grand Line;Alive;Fukuro;https://static.wikia.nocookie.net/onepiece/images/f/ff/Fukuro_Anime_Post_Ellipse_Infobox.png/revision/latest/scale-to-width-down/267;ok;candidate:Fukuro;;;CP-AIGIS0CP9;29 ans (avant ellipse)31 ans (après ellipse);;Fukurô;;;4;;;;;;;;;800;;"""Fukuro le Silencieux"" (音無しのフクロウ, Otonashi no Fukurō)";;S (O);Guanhao;29 Juin;;Fukuro;;;Fukuro;;フクロウ;;Fukurō;;;;Agent du Cipher PolAssassin;;Grand Line;;;;;;"Chapitre 375 ; Épisode 264Chapitre 0 ; Épisode 0";;;;;;;3m31;;;;
kumadori;Kumadori;CP0;CP9;36;Kumadori;;;;"Chapter 375; Episode 264";338 cm;Cipher Pol Agent;;South Blue;Alive;Kumadori;https://static.wikia.nocookie.net/onepiece/images/2/28/Kumadori_Anime_Post_Ellipse_Infobox.png/revision/latest/scale-to-width-down/268;ok;candidate:Kumadori;;;CP-AIGIS0CP9;34 ans (avant l'ellipse) 36 ans (après l'ellipse);;;;;3;;;;;;;;;810;;;;XF (AB);Guanhao;20 Février;;Kumadori;;;Kumadori;;クマドリ;;Kumadori;;;;Agent du Cipher PolAssassin;;South Blue;;;;;;"Chapitre 375 ; Épisode 264Chapitre 0 ; Épisode 0";;;;;;;3m18;;;;
blueno;Blueno;CP0;CP9;32;Buruno;;Doa Doa no Mi;Paramecia;"Chapter 325; Episode 230";258 cm;Cipher Pol Agent;Bartender;North Blue;Alive;Blueno;https://static.wikia.nocookie.net/onepiece/images/0/0e/Blueno_Anime_Post_Ellipse_Infobox.png/revision/latest/scale-to-width-down/268;ok;candidate:Blueno;;;CP-AIGIS0CP9;30 ans (avant l'ellipse)32 ans (après l'ellipse);;;;;;;;;;;Doa Doa no Mi;Fruit du portier;Paramecia;820;;;;X (A);Guanhao Water Seven;20 avril;;Blueno;;;Blueno;;ブルーノ;;Burūno;;;;Agent du Cipher PolAssassinTenancier de Bar;;North Blue;;;;;;"Chapitre 325 ; Épisode 230Chapitre 0 ; Épisode 0";;;;;Porte;Vivant;2m58;;;Emmanuel Gradi(230 - 273 + ES 3)Patrick Waleffe(Film 15);Seiji Sasaki
jabra;Jabra;CP0;CP9;37;Jabura;;"Inu Inu no Mi, Model: Wolf";Zoan;"Chapter 375; Episode 264";212 cm;Cipher Pol Agent;;North Blue;Alive;Jabra;https://static.wikia.nocookie.net/onepiece/images/0/04/Jabra_Anime_Post_Ellipse_Infobox.png/revision/latest/scale-to-width-down/268;ok;candidate:Jabra;;;CP-AIGIS0CP9;35 ans (avant ellipse) 37 ans (après ellipse);;;;;1;;;;;;"Inu Inu no Mi, modèle Loup";Fruit du Canidé - Version Loup;Zoan;2180;;;;S (O);Guanhao Water Seven;5 Juin;;Jabra;;;Jabura Jabra;;ジャブラ;;Jabura;;;;Agent du Cipher Pol Assassin;;North Blue;;;;;;"Chapitre 375 ; Épisode 264Chapitre 0 ; Épisode 0";;;;;Loup;Vivant;2m12;;;;
kaku;Kaku;CP0;"CP9,Galley-La Company";25;"Mountain Wind,Yamakaze,Kaku";;"Ushi Ushi no Mi, Model: Giraffe";Zoan;"Chapter 323; Episode 230";193 cm;Cipher Pol Agent;Shipwright (cover);East Blue;Alive;Kaku;https://static.wikia.nocookie.net/onepiece/images/8/81/Kaku_Anime_Post_Ellipse_Infobox.png/revision/latest/scale-to-width-down/267;ok;candidate:Kaku;;;CP-AIGIS0CP9 Galley-La Company;23 ans (avant l’ellipse)25 ans (après l’ellipse);;;;;5;;;;;;"Ushi Ushi no Mi, modèle: Girafe";Fruit du Bovin - Version Girafe;Zoan;2200;;"""Le Vent de la Montagne"" (山風, Yamakaze)";;X (A);Guanhao Water Seven;7 Août;;Kaku;;;Kaku;;カク;;Kaku;;;;Agent du Cipher Pol Assassin Charpentier;;East Blue;;;;;;"Chapitre 323 ; Épisode 230";;;;;Girafe;Vivant;1m93;;;;
rob-lucci;Rob Lucci;CP0;"CP9,Galley-La Company";30;"Massacre Weapon,Satsuriku Heiki,Robu Rutchi";;"Neko Neko no Mi, Model: Leopard";Zoan;"Chapter 323; Episode 230";212 cm;Cipher Pol Agent;Shipwright;Guanhao;Alive;Rob Lucci;https://static.wikia.nocookie.net/onepiece/images/f/f9/Rob_Lucci_Anime_Post_Ellipse_Infobox.png/revision/latest/scale-to-width-down/268;ok;candidate:Rob_Lucci;;;CP-AIGIS0 CP9 Galley-La Company;28 ans (avant l’ellipse) 30 ans (après l’ellipse);;;;;;;;;;;"Neko Neko no Mi, modèle Léopard";"Fruit du Félin, Version Léopard";Zoan;4000;;"""Arme de massacre"" (殺戮兵器, Satsuriku Heiki?)";;XF;Guanhao Water Seven;;;Rob Lucci;;;Rob Lucci;;ロブ･ルッチ;;Robu Rucchi;;;;Agent du Cipher Pol Assassin Charpentier;;Grand Line;;;;;;"Chapitre 323 ; Épisode 230Chapitre 0 ; Épisode 0";;;;;Chat;Vivant;2m12;;;;
marshall-d-teach;Marshall D. Teach;Blackbeard Pirates;"Four Emperors,Clan of D., Davy Family,Seven Warlords of the Sea,Whitebeard Pirates 2nd Division ";40;"Blackbeard,Kurohige,Black Beard' in the edited dub,Masharu Di Tichi";"3,996,000,000";"Yami Yami no Mi, Gura Gura no Mi";"Logia, Paramecia";"Chapter 223; Episode 146";344 cm;Pirate;"Admiral; Emperor; Apprentice; Warlord of the Sea";Shade Port;Alive;Marshall D. Teach;https://static.wikia.nocookie.net/onepiece/images/0/0c/Marshall_D._Teach_Anime_Post_Ellipse_Infobox.png/revision/latest/scale-to-width-down/268;ok;candidate:Marshall_D._Teach;;;L'Équipage de Barbe NoireL'Équipage de Barbe Blanche Sept Grands Corsaires Quatre Empereurs;38 ans (au début)40 ans (après ellipse);;;;;;;Gura Gura no Mi;Fruit du Tremblement;Tremblement;Paramecia;Yami Yami no Mi;Fruit des Ténèbres;Logia;;;"""Barbe Noire"" (黒ひげ, Kurohige)""Amiral Teach"" (ティーチ提督, Tīchi Tētoku)";;F.;Île de Ruche;3 Août;;Marshall D. Teach;;;Marshall D. Teach;;マーシャル・D（ディー）・ティーチ;;Māsharu Dī Tīchi;;;;Capitaine PirateGrand Corsaire Empereur;;Grand Line;;;;;;"Chapitre 223, Épisode 146";02.247.600.0003.996.000.000;;;;Ténèbres;Vivant;"344 cm (11'2"")";;;;
edward-newgate;Edward Newgate;Whitebeard Pirates;"Rocks Pirates,Four Emperors";72;"Whitebeard,Shirohige,White Beard' in the edited dub,The Strongest Man in the World,Sekai Saikyo no Otoko,The Man Closest to One Piece,Wan Pisu ni Mottomo Chikai Otoko,Edowado Nyugeto";"5,046,000,000";Gura Gura no Mi;Paramecia;"Chapter 159; Episode 95 (silhouette);Chapter 234; Episode 151 (full)";666 cm;Pirate Captain;Emperor;Sphinx;Deceased;Edward Newgate;https://static.wikia.nocookie.net/onepiece/images/b/b7/Edward_Newgate_Anime_Infobox.png/revision/latest/scale-to-width-down/268;ok;candidate:Edward_Newgate;;;Quatre Empereurs L'Équipage de Barbe BlancheL'Équipage de Rocks;72 ans (à sa mort);;;;;;;;;;;Gura Gura no Mi;Fruit du Tremblement;Paramecia;;;"""Barbe Blanche"" (白ひげ, Shirohige)""L'Homme le plus Fort du Monde"" (世界最強の男, Sekai saikyō no otoko)""L'Homme le plus proche du One Piece"" (ワンピースに最も近い男, Wan Pīsu ni mottomo chikai otoko)";;F;;6 Avril;;Edward Newgate;;;Edward Newgate;;エドワード・ニューゲート;;Edowādo Nyūgēto;;;;Capitaine Pirate Empereur;;Sphinx;;;;;;"Chapitre 234 ; Épisode 151Chapitre 0 ; Épisode 0";5.046.000.000;;;Bélier;Son du grondement d'un tremblement de terre;Décédé;6m66;;;;
